course,degree_program,heard_tv,heard_social_media,heard_radio,heard_other,heard_in_app_ad,heard_home_mailer,heard_hs_teacher,heard_hs_counselor,heard_family_friend,heard_employer,heard_ccm_student,heard_community_event,heard_ccm_website,heard_ccm_alumni,heard_billboard,motivation_transfer_bachelor,motivation_transfer_hs,motivation_current_tech,motivation_job_computing,motivation_relocation,motivation_prof_dev,motivation_personal_enrich,motivation_job_displacement,motivation_it_cert,motivation_financial,motivation_career_change,motivation_career_advancement,gender,age,major
CMP 128 Computer Science I,CIS Game Development Option,No,Don't recall,No,Don't recall,Don't recall,No,Don't recall,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,19-20,game development
CMP 128 Computer Science I,Computer Science,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Woman,21-24,Computer Science
CMP 128 Computer Science I,CIS Game Development Option,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Man,18 and younger,game development
CMP 128 Computer Science I,Computer Science,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Man,19-20,Computer Science
CMP 128 Computer Science I,CIS Game Development Option,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Man,19-20,game development
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Woman,21-24,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Man,19-20,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Man,25-34,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,Don't recall,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Man,25-34,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Man,18 and younger,Computer Science
CMP 128 Computer Science I,Challenger Program,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Woman,18 and younger,temporary students
CMP 131 Fundamentals of Programming (Python),Data Analytics Certificate of Achievement,No,Don't recall,No,Don't recall,No,No,Yes,No,Yes,No,Don't recall,Yes,Don't recall,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Woman,25-34,data science
CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Man,18 and younger,Computer Science
CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Man,19-20,Computer Science
CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Man,19-20,Computer Science
CMP 131 Fundamentals of Programming (Python),Information Technology,No,Yes,No,Don't recall,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Woman,25-34,Information Technology
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Man,21-24,Information Technology
CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Man,21-24,Computer Science
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Man,21-24,Information Technology
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,19-20,Information Technology
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,No,No,Don't recall,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Man,19-20,Information Technology
CMP 131 Fundamentals of Programming (Python),Data Analytics Certificate of Achievement,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Man,25-34,data science
CMP 128 Computer Science I,Computer Science,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Woman,18 and younger,Computer Science
CMP 128 Computer Science I,CIS Game Development Option,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Man,18 and younger,game development
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Man,18 and younger,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Prefer not to say,18 and younger,Computer Science
CMP 128 Computer Science I,CIS Game Development Option,No,No,No,Don't recall,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Man,18 and younger,game development
CMP 128 Computer Science I,Information Technology,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Woman,25-34,Information Technology
CMP 128 Computer Science I,Information Technology,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Man,25-34,Information Technology
CMP 128 Computer Science I,Information Technology,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Don't recall,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Man,25-34,Information Technology
CMP 128 Computer Science I,Information Technology,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Man,25-34,Information Technology
CMP 128 Computer Science I,Information Technology,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Man,19-20,Information Technology
CMP 128 Computer Science I,Information Technology,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Man,21-24,Information Technology
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,No,Don't recall,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Man,19-20,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Man,35-64,Computer Science
CMP 128 Computer Science I,Computer Science,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Man,25-34,Computer Science
CMP 128 Computer Science I,Digital Media Technology,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,21-24,Digital Media Technology
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,18 and younger,Information Technology
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Man,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Woman,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Woman,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Man,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,Don't recall,Yes,Don't recall,Don't recall,Yes,Don't recall,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Woman,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,Don't recall,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Man,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Man,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Man,18 and younger,temporary students
CMP 120 Foundations of Information Security,ShareTime CSIP Program,No,Yes,No,Don't recall,No,No,Yes,Yes,Yes,No,No,Yes,No,Don't recall,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Man,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Man,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Woman,18 and younger,temporary students
CMP 130 Intro to IT,Information Security Certificate of Achievement,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,18 and younger,Information Security Certificate Of Achievement
CMP 130 Intro to IT,ShareTime CSIP Program,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Woman,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Man,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,18 and younger,temporary students
CMP 130 Intro to IT,ShareTime CSIP Program,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Don't recall,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Man,18 and younger,temporary students
CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Man,21-24,Computer Science
CMP 131 Fundamentals of Programming (Python),Data Analytics Certificate of Achievement,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Man,18 and younger,data science
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Woman,18 and younger,Information Technology
CMP 131 Fundamentals of Programming (Python),Computer Science,No,Don't recall,No,Yes,No,Don't recall,Yes,Yes,Don't recall,No,Don't recall,No,Don't recall,Don't recall,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Man,18 and younger,Computer Science
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Man,25-34,Information Technology
CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,No,Don't recall,No,No,Don't recall,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Man,19-20,Computer Science
CMP 131 Fundamentals of Programming (Python),Information Security Certificate of Achievement,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Man,21-24,Information Security Certificate Of Achievement
CMP 131 Fundamentals of Programming (Python),Information Technology,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Man,18 and younger,Information Technology
